,article_id,category_id,created_at_ts,words_count
68764,68764,136,1507742767000,261
68771,68771,136,1507121465000,255
68887,68887,136,1506956428000,217
68924,68924,136,1507442409000,243
69133,69133,136,1507638567000,242
69135,69135,136,1507737880000,222
69160,69160,136,1507657245000,452
69328,69328,136,1507563177000,220
69353,69353,136,1508075473000,187
69433,69433,136,1507463157000,266
69484,69484,136,1507207729000,256
69556,69556,136,1508219969000,249
69580,69580,136,1507136983000,214
69781,69781,136,1507117764000,263
69889,69889,136,1507735237000,202
69932,69932,136,1507629657000,217
70079,70079,136,1507927677000,173
70092,70092,136,1507132099000,200
70194,70194,136,1507297780000,219
70429,70429,136,1508159144000,275
70457,70457,136,1507313276000,209
70484,70484,136,1507835633000,248
70591,70591,136,1507718472000,247
70594,70594,136,1506985020000,160
70646,70646,136,1507030546000,170
70649,70649,136,1507745255000,233
70773,70773,136,1507579575000,279
70793,70793,136,1484147452000,181
70986,70986,136,1508185100000,194
70999,70999,136,1507317544000,204
71076,71076,136,1507103530000,240
71136,71136,136,1507638708000,176
71161,71161,136,1507870859000,275
71298,71298,136,1482405195000,252
71397,71397,136,1508145669000,254
71494,71494,136,1507055399000,198
71531,71531,136,1507149949000,259
71558,71558,136,1507744859000,211
71596,71596,136,1487250110000,239
71608,71608,136,1507566200000,262
71622,71622,136,1508149239000,243
72254,72254,137,1506956862000,232
73287,73287,138,1505376785000,218
73303,73303,138,1507615264000,251
73351,73351,138,1508226111000,261
73445,73445,138,1507476042000,187
73500,73500,138,1506926401000,181
73506,73506,138,1508155861000,161
74563,74563,141,1507648859000,240
74628,74628,141,1507745564000,212
74665,74665,141,1508171417000,202
74722,74722,142,1507653517000,226
74780,74780,146,1508061359000,144
74797,74797,146,1507183270000,175
75825,75825,147,1507049033000,231
75844,75844,147,1507563871000,290
75922,75922,147,1507311842000,243
75972,75972,147,1508142854000,168
76291,76291,147,1507558909000,256
76373,76373,147,1507053466000,180
76431,76431,147,1507224122000,345
79851,79851,173,1508164788000,183
84074,84074,174,1507651571000,196
84420,84420,174,1507475569000,171
84673,84673,174,1507057803000,242
84914,84914,174,1507748454000,164
84942,84942,174,1507738138000,277
87165,87165,186,1506896657000,114
87188,87188,186,1506899086000,114
87192,87192,186,1507498773000,170
87205,87205,186,1507497786000,137
87213,87213,186,1508102246000,127
87224,87224,186,1507496527000,100
95716,95716,209,1507584182000,222
95972,95972,209,1507198062000,215
96106,96106,209,1507653967000,214
96119,96119,209,1508143223000,216
96210,96210,209,1507798791000,274
96214,96214,209,1507640672000,241
96252,96252,209,1507816578000,137
96480,96480,209,1507309044000,192
96605,96605,209,1506860078000,158
96635,96635,209,1507055173000,203
96755,96755,209,1507326628000,211
96768,96768,209,1507317443000,209
96812,96812,209,1506950117000,195
96940,96940,209,1507910155000,188
96986,96986,209,1507923671000,200
97031,97031,209,1507450608000,140
97106,97106,211,1507810991000,176
97495,97495,213,1508153093000,150
97512,97512,213,1507205822000,157
97530,97530,213,1508137597000,122
100921,100921,225,1507039871000,152
100924,100924,225,1507816117000,144
100929,100929,225,1507299340000,360
100931,100931,225,1507905033000,68
100953,100953,225,1507557848000,137
106998,106998,228,1507844821000,190
107002,107002,228,1507667791000,157
107009,107009,228,1508014821000,131
107011,107011,228,1507929305000,112
107015,107015,228,1507929254000,123
107034,107034,228,1507665979000,179
107038,107038,228,1507411220000,112
107039,107039,228,1506979247000,129
107042,107042,228,1506979566000,129
107063,107063,228,1507841626000,185
107070,107070,228,1507584506000,139
107073,107073,228,1507754763000,223
107083,107083,228,1507584088000,176
107088,107088,228,1507584182000,184
107115,107115,228,1507842691000,115
107121,107121,228,1508016512000,105
107134,107134,228,1507932400000,180
107138,107138,228,1507584537000,163
107150,107150,228,1507583226000,153
107151,107151,228,1506979446000,188
107172,107172,228,1508014321000,120
107177,107177,228,1507928511000,121
107182,107182,228,1506980778000,151
107187,107187,228,1507844954000,128
107194,107194,228,1507582744000,136
107207,107207,228,1507582451000,99
107208,107208,228,1507665571000,146
107214,107214,228,1507928249000,144
107216,107216,228,1507151641000,157
107224,107224,228,1507583054000,187
107243,107243,228,1507844552000,134
107254,107254,228,1507845163000,192
107266,107266,228,1506980817000,141
107272,107272,228,1507845092000,115
107298,107298,228,1507581192000,16
107302,107302,228,1508012989000,16
107305,107305,228,1507926868000,16
108833,108833,230,1501364333000,121
108855,108855,230,1507149864000,157
108858,108858,230,1508016028000,130
111043,111043,231,1507732818000,195
111210,111210,231,1507097288000,237
111323,111323,231,1508153507000,210
111933,111933,231,1507907816000,215
114052,114052,237,1507130513000,175
114053,114053,237,1507368968000,174
114055,114055,237,1507225039000,225
114456,114456,237,1507576886000,177
114457,114457,237,1507231262000,237
115148,115148,240,1420024409000,166
118286,118286,247,1508139480000,219
118314,118314,247,1507578060000,233
118391,118391,247,1507301939000,200
118482,118482,247,1507735565000,189
118548,118548,247,1507384650000,221
118585,118585,247,1507735291000,260
118629,118629,247,1507552625000,253
118683,118683,247,1506969329000,236
118685,118685,247,1507840959000,266
118712,118712,247,1507128032000,178
118753,118753,247,1506948794000,204
118793,118793,247,1507114817000,229
118808,118808,247,1507226253000,198
118845,118845,247,1507889919000,207
118864,118864,247,1506956016000,174
119021,119021,247,1507119005000,190
119044,119044,247,1506953926000,145
119053,119053,247,1507224395000,193
119102,119102,247,1507910548000,217
119137,119137,247,1507572261000,178
119189,119189,247,1508146561000,256
119193,119193,247,1507565823000,296
119336,119336,247,1507137460000,245
119394,119394,247,1507636029000,217
119488,119488,247,1507737260000,185
119583,119583,247,1507218517000,214
123289,123289,250,1507284319000,197
123290,123290,250,1507224971000,201
123374,123374,250,1507829153000,243
123393,123393,250,1507318238000,200
123559,123559,250,1507762739000,219
123757,123757,250,1507223128000,194
123826,123826,250,1507306126000,223
123909,123909,250,1507198955000,240
124176,124176,250,1507303482000,199
124177,124177,250,1507242497000,161
124194,124194,250,1507275790000,174
124196,124196,250,1507735285000,201
124228,124228,250,1507215461000,155
124350,124350,250,1507282446000,196
124352,124352,250,1507238589000,177
124667,124667,250,1507323180000,196
124671,124671,250,1507577029000,190
124679,124679,250,1507788059000,167
124726,124726,250,1507828029000,208
124748,124748,250,1507231370000,181
124749,124749,250,1507316335000,192
128260,128260,252,1507712272000,190
128957,128957,252,1507286647000,210
129434,129434,252,1507407884000,168
129591,129591,252,1507562179000,233
133160,133160,254,1507463039000,258
137307,137307,255,1507881558000,151
140524,140524,265,1507652899000,168
140528,140528,265,1507375628000,255
140678,140678,265,1507206325000,192
141004,141004,265,1507533311000,198
141203,141203,265,1507070485000,153
141334,141334,265,1507570219000,110
141491,141491,265,1507300848000,199
141561,141561,265,1507554294000,179
141972,141972,269,1507363201000,168
144963,144963,269,1507228263000,302
146225,146225,271,1507183268000,233
149623,149623,276,1506963835000,188
150935,150935,281,1390592256000,314
156279,156279,281,1508177766000,214
156355,156355,281,1507396994000,283
156381,156381,281,1507816499000,224
156447,156447,281,1506970551000,288
156560,156560,281,1506957280000,185
156618,156618,281,1507579692000,264
156619,156619,281,1507031042000,275
156622,156622,281,1507053905000,287
156624,156624,281,1507000391000,244
156625,156625,281,1507204625000,241
156713,156713,281,1507994993000,341
156723,156723,281,1507132124000,154
156807,156807,281,1508161984000,183
156843,156843,281,1507698941000,320
156963,156963,281,1507130601000,186
156964,156964,281,1507627439000,135
157076,157076,281,1507604457000,257
157300,157300,281,1507116932000,237
157363,157363,281,1507295594000,149
157478,157478,281,1508126462000,259
157650,157650,281,1507741137000,245
157725,157725,281,1507739581000,225
157733,157733,281,1507897243000,240
157759,157759,281,1507654230000,222
157770,157770,281,1506983935000,201
157774,157774,281,1507995473000,223
157798,157798,281,1507904053000,216
157844,157844,281,1507231291000,169
157989,157989,281,1507880001000,214
158023,158023,281,1507319441000,233
158036,158036,281,1507982297000,216
158047,158047,281,1507444777000,210
158082,158082,281,1506942774000,220
158094,158094,281,1507803751000,223
158114,158114,281,1507292989000,198
158192,158192,281,1507034320000,211
158283,158283,281,1507830570000,215
158461,158461,281,1506977151000,186
158536,158536,281,1506919415000,858
158646,158646,281,1507077985000,181
158715,158715,281,1507835309000,219
158721,158721,281,1507656851000,215
158767,158767,281,1507823833000,231
158794,158794,281,1507658687000,216
158882,158882,281,1507934176000,244
158906,158906,281,1507352459000,289
159019,159019,281,1508156004000,91
159135,159135,281,1507747974000,230
159190,159190,281,1507571195000,145
159197,159197,281,1507830214000,299
159452,159452,281,1508166607000,238
159720,159720,281,1507796179000,217
159762,159762,281,1507108354000,258
159863,159863,281,1507633205000,240
159927,159927,281,1508172694000,231
159943,159943,281,1507908296000,182
160096,160096,281,1507758685000,215
160129,160129,281,1507493065000,190
160131,160131,281,1507148303000,238
160132,160132,281,1507086884000,227
160142,160142,281,1507659680000,232
160148,160148,281,1506956855000,217
160417,160417,281,1506942089000,173
160453,160453,281,1507201186000,175
160621,160621,281,1507056165000,325
160940,160940,281,1507358430000,275
160974,160974,281,1506912747000,259
161077,161077,281,1507225734000,249
161149,161149,281,1507560501000,205
161169,161169,281,1506938375000,257
161223,161223,281,1507638419000,248
161227,161227,281,1501777984000,225
161363,161363,281,1504025773000,250
161425,161425,281,1507217340000,181
161580,161580,281,1507971135000,291
161584,161584,281,1506964306000,209
161801,161801,281,1507531767000,252
161871,161871,281,1507714151000,258
161873,161873,281,1507805477000,179
161876,161876,281,1507925722000,216
162006,162006,281,1507133496000,150
162016,162016,281,1507244204000,261
162018,162018,281,1508164869000,203
162022,162022,281,1507575488000,149
162139,162139,281,1507832969000,130
162261,162261,281,1507233795000,194
162276,162276,281,1507822237000,307
162296,162296,281,1507125030000,210
162300,162300,281,1506945129000,193
162384,162384,281,1507294695000,214
162444,162444,281,1507554168000,293
162483,162483,281,1507035695000,234
162572,162572,281,1507826584000,304
162585,162585,281,1507129444000,312
162605,162605,281,1507855218000,282
162636,162636,281,1507669719000,201
162655,162655,281,1506949610000,245
162663,162663,281,1507659416000,225
162700,162700,281,1507957258000,136
162718,162718,281,1507490534000,234
162765,162765,281,1506955753000,131
162787,162787,281,1507660920000,293
162817,162817,281,1507957257000,35
164141,164141,285,1507036550000,250
164570,164570,288,1507306057000,221
165990,165990,289,1507910883000,163
166118,166118,289,1494201672000,276
166123,166123,289,1507205374000,167
166142,166142,289,1506947691000,221
166144,166144,289,1507891117000,184
166166,166166,289,1508151273000,134
166176,166176,289,1507054702000,182
166200,166200,289,1507057173000,153
166215,166215,289,1506924066000,231
166282,166282,289,1507059979000,212
166302,166302,289,1507043010000,183
166322,166322,289,1508138644000,173
166377,166377,289,1507115636000,199
166380,166380,289,1508161110000,145
166462,166462,289,1507126885000,161
166580,166580,289,1506960686000,207
166581,166581,289,1506963755000,210
166621,166621,289,1506924068000,187
167259,167259,295,1506970195000,231
167329,167329,295,1507926734000,241
168377,168377,297,1508165870000,192
168401,168401,297,1507663321000,215
168564,168564,297,1508007750000,276
168623,168623,297,1507144050000,157
168703,168703,297,1507316577000,278
168768,168768,297,1507553129000,186
168838,168838,297,1508064124000,191
168841,168841,297,1508164639000,285
169136,169136,299,1507269659000,223
169147,169147,299,1507310764000,208
172730,172730,299,1507932883000,159
173334,173334,299,1507930244000,180
174236,174236,299,1507103737000,251
174423,174423,299,1507922288000,188
174905,174905,299,1507827003000,283
175199,175199,299,1507206183000,250
175476,175476,299,1507119937000,201
181833,181833,301,1507230484000,163
181873,181873,301,1506941708000,217
181928,181928,301,1507016115000,256
182023,182023,301,1507030318000,197
182256,182256,301,1507293321000,194
182394,182394,301,1506957186000,295
182445,182445,301,1507018054000,209
183176,183176,301,1507731529000,285
183950,183950,301,1507907481000,274
184091,184091,301,1507661381000,178
184131,184131,301,1507057197000,201
186047,186047,302,1507808489000,140
187065,187065,302,1507025761000,147
187071,187071,302,1508079677000,175
187357,187357,302,1507534918000,123
190593,190593,304,1507748125000,165
191001,191001,305,1508157163000,174
191895,191895,309,1507532074000,215
191911,191911,309,1507877450000,151
191929,191929,309,1507635221000,311
194197,194197,317,1507056464000,272
194237,194237,317,1507133770000,217
194289,194289,317,1507899608000,216
194300,194300,317,1507636150000,202
194407,194407,317,1507709888000,200
194561,194561,317,1508159340000,127
194568,194568,317,1507789857000,192
194645,194645,317,1507456358000,133
194789,194789,317,1507584346000,207
194920,194920,317,1507750738000,203
194925,194925,317,1506976741000,186
195037,195037,317,1507653514000,313
195135,195135,317,1507183282000,234
195193,195193,317,1507585866000,178
195243,195243,317,1508151859000,191
195322,195322,317,1507102120000,155
195357,195357,317,1507923040000,156
195427,195427,317,1507122583000,203
195561,195561,317,1508161628000,143
195564,195564,317,1507574533000,238
195697,195697,317,1507205926000,195
195881,195881,317,1508085631000,154
198199,198199,323,1507454621000,196
198243,198243,323,1507460956000,169
198540,198540,323,1507480894000,281
198605,198605,323,1508149055000,284
198610,198610,323,1507138481000,205
198613,198613,323,1507057802000,222
198659,198659,323,1506961823000,191
198820,198820,323,1507101978000,212
198822,198822,323,1507144684000,186
198859,198859,323,1507125790000,328
199196,199196,323,1507120123000,244
199197,199197,323,1507025800000,238
199198,199198,323,1506958823000,221
199227,199227,323,1507577269000,214
199291,199291,323,1507564453000,194
199369,199369,323,1507319918000,215
199372,199372,323,1508073183000,158
199376,199376,323,1507132895000,209
199418,199418,323,1507049467000,172
199649,199649,323,1507908905000,194
199885,199885,323,1507574228000,211
201815,201815,325,1507906214000,171
201907,201907,325,1507223427000,143
202289,202289,327,1507117301000,183
202320,202320,327,1508155486000,189
202330,202330,327,1507661567000,150
202355,202355,327,1508089569000,197
202372,202372,327,1507714309000,213
202376,202376,327,1507223977000,189
202381,202381,327,1508148576000,172
202383,202383,327,1506950352000,206
202388,202388,327,1507723340000,305
202398,202398,327,1507573278000,193
202429,202429,327,1507124083000,153
202442,202442,327,1507295568000,230
202455,202455,327,1507035814000,253
202459,202459,327,1507202540000,204
202476,202476,327,1507870801000,151
202492,202492,327,1507131050000,125
202493,202493,327,1507120233000,143
202522,202522,327,1507830640000,170
202586,202586,327,1506949050000,248
202598,202598,327,1507148615000,226
202635,202635,327,1507739401000,249
202651,202651,327,1507653603000,189
202670,202670,327,1507738207000,246
202672,202672,327,1507064397000,163
202675,202675,327,1506972459000,194
202701,202701,327,1507216552000,162
202729,202729,327,1507190401000,132
203199,203199,327,1507639589000,215
203218,203218,327,1506969965000,211
203219,203219,327,1507659463000,206
203241,203241,327,1507061447000,361
203260,203260,327,1507555694000,211
203288,203288,327,1507198961000,285
203323,203323,327,1507576038000,214
203340,203340,327,1507316910000,168
203393,203393,327,1508162422000,219
203450,203450,327,1507147041000,201
203890,203890,328,1507297916000,205
205832,205832,331,1507403441000,171
205846,205846,331,1507134835000,215
205847,205847,331,1507132420000,216
205861,205861,331,1506981821000,196
205866,205866,331,1507540092000,293
205869,205869,331,1507988913000,211
205873,205873,331,1507822682000,168
205901,205901,331,1507136606000,239
205958,205958,331,1508185715000,172
205982,205982,331,1507227910000,186
205992,205992,331,1507210354000,239
206027,206027,331,1507152530000,207
206073,206073,331,1507142966000,238
206104,206104,331,1507172607000,240
206112,206112,331,1507093257000,171
206142,206142,331,1507049316000,267
206159,206159,331,1506969304000,255
206168,206168,331,1507030578000,210
206211,206211,331,1507131030000,164
206346,206346,331,1507139732000,164
206407,206407,331,1507067036000,204
206415,206415,331,1508166787000,281
206462,206462,331,1507059574000,209
206534,206534,331,1507055927000,250
206538,206538,331,1507057482000,187
206571,206571,331,1508169989000,214
206606,206606,331,1506974063000,171
206631,206631,331,1507238947000,249
206639,206639,331,1507047839000,196
206661,206661,331,1506950659000,234
206662,206662,331,1507207578000,287
206711,206711,331,1507221967000,213
206724,206724,331,1507733119000,297
206730,206730,331,1507050404000,236
206735,206735,331,1507721656000,217
206763,206763,331,1508013342000,256
206768,206768,331,1507928463000,223
206775,206775,331,1507218740000,229
206778,206778,331,1507920788000,286
206785,206785,331,1508109556000,227
206805,206805,331,1507046942000,237
206808,206808,331,1507041496000,226
206861,206861,331,1507652461000,257
206923,206923,331,1507335884000,231
206934,206934,331,1507035782000,201
206938,206938,331,1507545083000,206
206999,206999,331,1507051537000,170
207019,207019,331,1505151626000,255
207024,207024,331,1506961358000,216
207068,207068,331,1507575508000,233
207082,207082,331,1507751792000,161
207167,207167,331,1507208834000,194
207239,207239,331,1507295615000,224
207255,207255,331,1484753000000,274
207262,207262,331,1507669407000,155
207278,207278,331,1507308787000,195
207282,207282,331,1507136154000,198
207309,207309,331,1507036899000,286
207311,207311,331,1507119749000,320
207374,207374,331,1506849860000,213
207397,207397,331,1507664135000,279
207469,207469,331,1506972052000,204
207514,207514,331,1507312812000,242
207540,207540,331,1506974725000,183
207543,207543,331,1507754113000,153
207603,207603,331,1508132329000,239
207622,207622,331,1507035292000,162
207630,207630,331,1507638631000,215
207633,207633,331,1507576921000,213
207634,207634,331,1507200331000,267
207657,207657,331,1507655967000,258
207679,207679,331,1507569394000,214
207714,207714,331,1507222410000,256
207720,207720,331,1507212748000,183
207731,207731,331,1506954158000,166
207758,207758,331,1508167151000,232
207760,207760,331,1507393960000,255
207778,207778,331,1506603491000,228
207797,207797,331,1507236179000,258
207812,207812,331,1507057761000,159
207813,207813,331,1507565360000,226
207819,207819,331,1507135641000,226
207825,207825,331,1506983448000,205
207828,207828,331,1507736625000,208
207834,207834,331,1507652709000,207
207848,207848,331,1507655939000,199
207927,207927,331,1507611660000,191
207963,207963,331,1507656520000,184
207975,207975,331,1508168007000,228
207982,207982,331,1507062784000,183
207994,207994,331,1507064041000,177
208032,208032,331,1507660530000,255
208048,208048,331,1507142272000,207
208057,208057,331,1507299903000,238
208071,208071,331,1507214539000,177
208077,208077,331,1507006857000,223
208082,208082,331,1507213286000,209
208094,208094,331,1507905007000,205
208142,208142,331,1495559227000,232
208145,208145,331,1507141470000,269
208150,208150,331,1507759635000,223
208199,208199,331,1507053373000,177
208233,208233,331,1507651977000,250
208237,208237,331,1507655659000,261
208322,208322,331,1507024862000,338
208360,208360,331,1507675146000,156
208430,208430,331,1507323430000,216
208500,208500,331,1507566942000,239
208508,208508,331,1507734211000,164
208518,208518,331,1507572899000,153
208567,208567,331,1507140860000,314
208578,208578,331,1507059692000,211
208582,208582,331,1508010839000,248
208583,208583,331,1508002411000,251
208587,208587,331,1508174900000,191
208596,208596,331,1507233018000,238
208973,208973,332,1507123776000,193
208981,208981,332,1508015203000,242
209013,209013,332,1507986149000,441
209122,209122,332,1508184837000,185
209156,209156,332,1507640678000,216
209245,209245,332,1508000736000,339
209294,209294,332,1506957767000,216
209296,209296,332,1507554161000,267
209817,209817,339,1507232459000,135
211415,211415,340,1507644366000,178
211442,211442,340,1508187720000,240
211483,211483,340,1507553219000,234
211485,211485,340,1507183271000,185
211486,211486,340,1507058018000,201
211732,211732,340,1507733119000,171
211856,211856,340,1507474446000,137
211941,211941,340,1507183259000,155
212011,212011,340,1507096860000,299
212022,212022,340,1508145719000,174
212165,212165,340,1506924065000,148
213927,213927,348,1506944714000,210
214021,214021,348,1507317186000,122
214084,214084,348,1507812712000,201
214097,214097,348,1507551462000,198
214109,214109,348,1507295298000,212
214129,214129,348,1507294579000,170
214137,214137,348,1507294398000,169
214206,214206,348,1507548370000,233
214277,214277,348,1508158870000,170
214283,214283,348,1507528864000,217
214296,214296,348,1507534477000,211
214329,214329,348,1507057501000,182
214364,214364,348,1507146087000,132
214476,214476,348,1507138555000,226
214576,214576,348,1507239551000,271
214578,214578,348,1507294745000,149
214600,214600,348,1507295234000,269
214616,214616,348,1507902257000,83
214644,214644,348,1507125604000,195
214714,214714,348,1507055129000,107
214753,214753,348,1508083381000,141
214784,214784,348,1507663648000,185
214800,214800,348,1507099489000,227
214835,214835,348,1507056959000,134
215693,215693,351,1507633478000,168
215861,215861,351,1507226117000,252
215906,215906,351,1507296278000,223
215928,215928,351,1507198836000,210
215993,215993,351,1507751655000,196
218028,218028,352,1508087872000,253
218330,218330,352,1507577709000,204
218337,218337,352,1506968856000,206
218355,218355,352,1508155745000,202
220102,220102,353,1507032385000,150
221338,221338,354,1507115647000,127
223926,223926,354,1489731241000,207
224000,224000,354,1507559177000,228
224354,224354,354,1507739063000,237
224421,224421,354,1507137815000,221
224562,224562,354,1507635057000,145
224654,224654,354,1507294415000,167
224658,224658,354,1506959497000,172
224714,224714,354,1507750156000,239
224788,224788,354,1508149195000,167
224912,224912,354,1507735880000,277
225010,225010,354,1507894469000,240
225019,225019,354,1507566328000,190
225041,225041,354,1507139999000,217
225055,225055,354,1506953474000,245
225124,225124,354,1507240416000,349
225198,225198,354,1506960789000,172
225201,225201,354,1506949109000,177
225282,225282,354,1508148315000,297
225317,225317,354,1507553970000,256
225596,225596,354,1507637401000,186
225775,225775,354,1507138055000,225
226460,226460,360,1507751333000,174
226496,226496,360,1507146479000,155
226569,226569,360,1506976320000,126
226595,226595,360,1507579432000,139
226639,226639,360,1507319438000,169
226648,226648,360,1507664157000,169
226681,226681,360,1507060835000,251
227578,227578,369,1507570765000,161
233410,233410,375,1507297977000,207
233420,233420,375,1507201158000,243
233464,233464,375,1507132251000,253
233549,233549,375,1507147327000,262
233595,233595,375,1507551004000,134
233685,233685,375,1507570271000,215
233688,233688,375,1507747802000,210
233717,233717,375,1507089657000,184
233742,233742,375,1507799868000,234
233827,233827,375,1507138293000,244
233926,233926,375,1507725501000,219
233988,233988,375,1508154750000,198
234122,234122,375,1507811552000,85
234155,234155,375,1507555873000,190
234173,234173,375,1507120366000,146
234192,234192,375,1507818007000,121
234258,234258,375,1507749096000,277
234267,234267,375,1507666877000,231
234269,234269,375,1507657052000,193
234281,234281,375,1508003240000,215
234318,234318,375,1507232073000,140
234336,234336,375,1507124495000,272
234346,234346,375,1507144517000,188
234390,234390,375,1507822886000,265
234392,234392,375,1507317475000,168
234409,234409,375,1503590030000,168
234424,234424,375,1507559872000,195
234442,234442,375,1507577785000,148
234493,234493,375,1506980606000,172
234517,234517,375,1503139057000,187
234698,234698,375,1507618597000,183
234744,234744,375,1508149967000,223
234813,234813,375,1507615568000,221
234868,234868,375,1508008963000,287
234919,234919,375,1507149541000,172
234969,234969,375,1505924177000,193
234999,234999,375,1507578488000,191
235028,235028,375,1507226809000,181
235105,235105,375,1508170826000,172
235175,235175,375,1507581819000,156
235230,235230,375,1507028533000,262
235276,235276,375,1507574811000,203
235300,235300,375,1507740678000,285
235323,235323,375,1508170369000,208
235396,235396,375,1507813600000,136
235407,235407,375,1507556214000,219
235440,235440,375,1507041919000,211
235451,235451,375,1507311218000,205
235468,235468,375,1507870857000,211
235524,235524,375,1507651262000,213
235525,235525,375,1507533695000,173
235616,235616,375,1507636469000,220
235777,235777,375,1507144202000,191
235804,235804,375,1507203796000,257
235824,235824,375,1507559878000,210
235854,235854,375,1507694457000,162
235870,235870,375,1507621324000,163
235872,235872,375,1507450800000,173
235886,235886,375,1507060541000,242
236026,236026,375,1507839778000,202
236140,236140,375,1507797376000,240
236171,236171,375,1506948619000,204
236202,236202,375,1504610222000,279
236266,236266,375,1507878557000,168
236338,236338,375,1507631583000,182
236428,236428,375,1507816197000,149
236444,236444,375,1507269442000,179
236512,236512,375,1507803105000,196
236527,236527,375,1507924733000,222
